,name,Worldwide_Box_Office,number_of_movies,average_box,link
2339,Rambler Entertainment,"$10,205,616",1,"$10,268,749",https://www.the-numbers.com/movies/production-company/Rambler-Entertainment
2340,RTBF,"$10,197,125",34,"$116,184,295",https://www.the-numbers.com/movies/production-company/RTBF
2341,Next Wednesday,"$10,179,275",2,"$16,030,596",https://www.the-numbers.com/movies/production-company/Next-Wednesday
2342,Kanbar Entertainment,"$10,143,779",1,"$23,353,111",https://www.the-numbers.com/movies/production-company/Kanbar-Entertainment
2343,Gimages Films,"$10,130,108",1,"$24,021,282",https://www.the-numbers.com/movies/production-company/Gimages-Films
2344,Headforce Ltd,"$10,130,108",1,"$24,021,282",https://www.the-numbers.com/movies/production-company/Headforce-Ltd
2345,Ciby 2000,"$10,102,521",4,"$13,147,549",https://www.the-numbers.com/movies/production-company/Ciby-2000
2346,Chestnut Ridge Productions,"$10,051,659",1,"$10,116,816",https://www.the-numbers.com/movies/production-company/Chestnut-Ridge-Productions
2347,Hudlin Entertainment,"$10,051,659",1,"$10,116,816",https://www.the-numbers.com/movies/production-company/Hudlin-Entertainment
2348,A Mark Entertainment,"$10,027,047",2,"$10,172,519",https://www.the-numbers.com/movies/production-company/Mark-Entertainment-A
2349,Melee Entertainment,"$10,027,047",1,"$10,172,519",https://www.the-numbers.com/movies/production-company/Melee-Entertainment
2350,Next Day Air Productions,"$10,027,047",1,"$10,172,519",https://www.the-numbers.com/movies/production-company/Next-Day-Air-Productions
2351,Secret Society Films,"$10,027,047",1,"$10,172,519",https://www.the-numbers.com/movies/production-company/Secret-Society-Films
2352,The Hideaway Entertainment,"$10,021,787",3,"$37,321,081",https://www.the-numbers.com/movies/production-company/Hideaway-Entertainment-The
2353,Valiant Productions,"$10,021,787",3,"$37,321,081",https://www.the-numbers.com/movies/production-company/Valiant-Productions
2354,AnnaBell Pictures,"$10,021,787",1,"$37,321,081",https://www.the-numbers.com/movies/production-company/AnnaBell-Pictures
2355,Mikado,"$10,019,109",1,"$10,019,109",https://www.the-numbers.com/movies/production-company/Mikado
2356,Type A Films,"$10,011,996",1,"$21,375,166",https://www.the-numbers.com/movies/production-company/Type-A-Films
2357,Lonely Island,"$10,011,895",3,"$11,233,145",https://www.the-numbers.com/movies/production-company/Lonely-Island
2358,I.C.C.-International Cinema Corporation,"$10,000,000",1,"$10,000,000",https://www.the-numbers.com/movies/production-company/I-C-C-International-Cinema-Corporation
2359,Analysis Film Corporation,"$10,000,000",1,"$10,000,000",https://www.the-numbers.com/movies/production-company/Analysis-Film-Corporation
2360,Rocket Science,"$9,976,150",12,"$19,882,449",https://www.the-numbers.com/movies/production-company/Rocket-Science
2361,Diaphana,"$9,965,297",11,"$71,611,066",https://www.the-numbers.com/movies/production-company/Diaphana
2362,Reserve Entertainment,"$9,935,837",2,"$10,014,053",https://www.the-numbers.com/movies/production-company/Reserve-Entertainment
2363,Brazil Productions,"$9,929,135",1,"$9,934,482",https://www.the-numbers.com/movies/production-company/Brazil-Productions
2364,Artemis Rising Foundation,"$9,929,092",18,"$17,837,074",https://www.the-numbers.com/movies/production-company/Artemis-Rising-Foundation
2365,The Movie Network,"$9,904,152",20,"$29,722,880",https://www.the-numbers.com/movies/production-company/Movie-Network-The
2366,Edward S. Feldman,"$9,873,000",1,"$9,873,000",https://www.the-numbers.com/movies/production-company/Edward-S-Feldman
2367,Nelvana-Ellipse,"$9,845,533",2,"$9,845,533",https://www.the-numbers.com/movies/production-company/Nelvana-Ellipse
2368,Cottage Industries,"$9,737,892",1,"$16,566,240",https://www.the-numbers.com/movies/production-company/Cottage-Industries
2369,Chrysler,"$9,737,892",1,"$16,566,240",https://www.the-numbers.com/movies/production-company/Chrysler
2370,Shade Pictures,"$9,737,892",1,"$16,566,240",https://www.the-numbers.com/movies/production-company/Shade-Pictures
